المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
النشويات,عيش بلدي (مصري),1/4 رغيف (حوالي 25-30 جم),الركن الأساسي
النشويات,عيش فينو,1/2 رغيف صغير,
النشويات,عيش توست (أسمر/أبيض),1 شريحة,
النشويات,خبز لبناني/شامي,1/4 رغيف كبير,
النشويات,أرز (أبيض/بسمتي/بشعرية),3 ملاعق كبيرة (مطبوخ),
النشويات,مكرونة (مسلوقة),3 ملاعق كبيرة (1/3 كوب),
النشويات,فريك / برغل,1/2 كوب (مطبوخ),خيارات صحية جداً ومنتشرة
النشويات,كسكسي (سادة),1/3 كوب,(مشهور في المغرب العربي ومصر)
النشويات,بطاطس (مسلوقة/مشوية),1 ثمرة صغيرة (أو 1/2 كوب),
النشويات,قلقاس,1/2 كوب (مطبوخ),أكلة شتوية مصرية أصيلة
النشويات,بسلة (بسلة بالجزر),1/2 كوب,تحسب نشويات
النشويات,ذرة مشوي,1/2 كوز متوسط,
النشويات,شوفان (خام),3 ملاعق كبيرة,فطور عصري
النشويات,بليلة (قمح كامل),1/2 كوب (بدون لبن),
النشويات,شعرية / لسان عصفور,3 ملاعق كبيرة (مطبوخ),
النشويات,بقسماط,2 أصبع,
النشويات,فشار,3 أكواب,
النشويات,بسكوت سادة,3 قطع,
النشويات,رقاق/ جلاش ,قطعة بحجم كف اليد,
المجموعة,الصنف (Item),الحصة الواحدة,ملاحظات
البقوليات,فول مدمس,1/2 كوب,(أساس الفطور المصري)
البقوليات,عدس (أصفر أو بجبة),1/2 كوب (مطبوخ),
البقوليات,لوبيا / فاصوليا بيضاء,1/2 كوب (مطبوخة),
البقوليات,حمص شام,1/2 كوب,
البقوليات,طعمية (فلافل),2 حبة متوسطة,(تحسب معها حصص دهون بسبب القلي)
المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
الفاكهة,تفاح,1 ثمرة صغيرة (حجم كرة التنس),الصنف الأكثر طلباً
الفاكهة,موز,1 ثمرة صغيرة (أو نصف موزة كبيرة),محبوب جداً للأطفال والرياضيين
الفاكهة,برتقال,1 ثمرة متوسطة,أساس الشتاء في مصر
الفاكهة,يوسفي (سفندي),2 ثمرة صغيرة,
الفاكهة,جوافة,1 ثمرة متوسطة,(بدون بذر أو بالبذر حسب الرغبة)
الفاكهة,كمثرى,1 ثمرة صغيرة,
الفاكهة,بلح (رطب/أسود),2 - 3 حبات,حسب الحجم (أساسي في مصر والخليج)
الفاكهة,تمر (مجفف),2 - 3 حبات,حسب النوع (سكري، خلاص، الخ)
الفاكهة,عنب,12 - 15 حبة صغيرة,(أو نصف كوب)
الفاكهة,تين (برشومي),2 ثمرة متوسطة,
الفاكهة,مانجو,1/2 كوب مكعبات (حوالي نصف ثمرة صغيرة),"""معشوقة المصريين"" - يجب الحذر في كميتها"
الفاكهة,بطيخ,1 و 1/4 كوب مكعبات,(كمية كبيرة لأن أغلبها ماء)
الفاكهة,كنتالوب / شمام,1 كوب مكعبات,
الفاكهة,فراولة,1 و 1/4 كوب (حوالي 10-12 حبة),
الفاكهة,رمان,1/2 كوب (حب),
الفاكهة,مشمش,4 ثمرات متوسطة,
الفاكهة,خوخ,1 ثمرة متوسطة,
الفاكهة,كيوي,1 حبة,
الفاكهة,زبيب,1 ملعقة كبيرة,
الفاكهة,قراصيا,3 حبات,
الفاكهة,مشمشية,4 حبات,
الفاكهة,تين مجفف,1 و نص حبة,
الفاكهة,عصير فاكهة,1/2 كوب,
المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
الالبان,حليب سائل (بقري/جاموسي),1 كوب (240 مل),الأساس (كامل أو قليل الدسم)
الالبان,زبادي (عادي/بلدي),1 علبة صغيرة (170 جم),الزبادي البلدي المصري يقارب هذه القيمة
الالبان,زبادي يوناني (سادة),3/4 كوب,(منتشر جداً حالياً في الدايت)
الالبان,لبنة (شامي),3 ملاعق كبيرة,(تحسب كألبان أو دهون حسب دسامتها، لكن كراوس يضعها هنا)
الالبان,رايب (لبن رايب),1 كوب (240 مل),صديق الجهاز الهضمي في مصر والخليج
الالبان,حليب بودرة,1/3 كوب (بودرة),يستخدم كثيراً في الطبخ والقهوة
الالبان,جبنة قريش,1/2 كوب (125 جم),"ملحوظة: (في بعض الأنظمة تحسب ""بروتين""، لكنها هنا بديل ممتاز)"
المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
الخضار,بامية,1/2 كوب (مطبوخة),من أساسيات البيت المصري
الخضار,ملوخية,1/2 كوب (مطبوخة بدون طشة),تُحسب خضار (والدهون تُحسب منفصلة)
الخضار,فاصوليا خضراء,1/2 كوب (مطبوخة),
الخضار,كوسة,1/2 كوب (مطبوخة),
الخضار,باذنجان (رومي/عروس),1/2 كوب (مشوي أو مطبوخ),أساس المسقعة والبابا غنوج
الخضار,قرنبيط,1/2 كوب (مطبوخ),
الخضار,بروكلي,1/2 كوب (مطبوخ),أصبح دارجاً جداً حالياً
الخضار,سبانخ,1/2 كوب (مطبوخة),
الخضار,خرشوف,1/2 كوب (أو ثمرة متوسطة),
الخضار,بصل,1/2 كوب (مقطع),"يستخدم بكثرة في ""التقلية"""
الخضار,طماطم,1 ثمرة متوسطة,(أو 1/2 كوب عصير طماطم)
الخضار,فلفل ألوان/رومي,1 كوب (طازج),
الخضار,خيار,1 كوب (حوالي ثمرتين),
الخضار,كرنب (ملفوف),1/2 كوب (مطبوخ),(الورق نفسه قبل حشوه بالأرز)
الخضار,صلصة,1 ملعقة كبيرة,
المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
اللحوم,لحم أحمر (بقري/جاموسي),30 جرام (حجم علبة الكبريت),مسلوق أو مشوي (قليل الدسم)
اللحوم,دواجن (صدور دجاج),30 جرام,بدون جلد (Lean Protein)
اللحوم,دواجن (وراك دجاج),30 جرام,تعتبر (Medium-fat)
اللحوم,أسماك (بلطي، بوري، وقار),30 جرام,مشوي أو مسلوق
اللحوم,تونه (معلبة),1/4 كوب (أو 30 جم),مصفاة من الزيت أو محلول ملحي
اللحوم,بيض,1 بيضة كبيرة,(Medium-fat)
اللحوم,جبنة قريش,1/4 كوب (حوالي 60 جرام),بروتين ممتاز قليل الدسم
اللحوم,جبنة بيضاء (فيتا/ثلاجة),30 جرام (قطعة صغيرة),(High-fat) غالباً
اللحوم,جبنة رومي / شيدر,30 جرام (شريحة),(High-fat)
اللحوم,كبدة,30 جرام,غنية بالحديد
اللحوم,أرانب,30 جرام,أخف أنواع اللحوم (Very Lean)
المجموعة,الصنف (Item),الحصة الواحدة (1 Exchange),ملاحظات
الدهون,زيوت نباتية (ذرة، عباد شمس),1 ملعقة صغيرة,الأساس في كل بيت
الدهون,زيت زيتون,1 ملعقة صغيرة,صحي جداً ومنتشر
الدهون,سمن (بلدي أو نباتي),1 ملعقة صغيرة,أساسي في الطبخ المصري
الدهون,زبدة,1 ملعقة صغيرة (قطعة صغيرة),
الدهون,طحينة,1 ملعقة كبيرة,(مهمة جداً في السلطات والمشاوي)
الدهون,قشطة (بلدي),1 ملعقة كبيرة,(منتشرة مع الفطور)
الدهون,زيتون (أخضر أو أسود),8-10 حبات كبيرة,(حسب الحجم والملوحة)
الدهون,مكسرات (لوز، بندق، فستق),6 حبات,
الدهون,سوداني,10 حبات,(أكثر المكسرات شعبية في مصر)
الدهون,لب (سوري/عباد شمس),1 ملعقة كبيرة (بدون قشر),
الدهون,لب (أبيض/قرع),1 ملعقة كبيرة (بدون قشر),
الدهون,أفوكادو,2 ملعقة كبيرة (أو 1/8 ثمرة),(بدأ ينتشر في الدايت حالياً)
الدهون,مايونيز,1 ملعقة صغيرة,
المجموعة,الصنف,الكمية,التصنيف
حلويات و سكريات,سكر أبيض,1 ملعقة كبيرة,1 نشويات
حلويات و سكريات,عسل نحل / عسل أسود,1 ملعقة كبيرة,1 نشويات
حلويات و سكريات,مربى,1 ملعقة كبيرة,1 نشويات
حلويات و سكريات,حلاوة طحينية,1 ملعقة كبيرة (قطعة صغيرة),1 نشويات + 1 دهون
حلويات و سكريات,شيكولاتة دارك (70%+),20 جرام,1 دهون + 1/2 نشويات
حلويات و سكريات,كنافة,قطعة صغيرة 50 جرام,1نشويات + 2دهون + 2سكر
حلويات و سكريات,قطايف,2 قطعة صعيرة,1نشويات + 1دهون + 1سكر
صوصات,خل (أبيض/تفاح),أي كمية,Free
صوصات,ليمون,أي كمية,Free
صوصات,مستردة (خردل),1 ملعقة كبيرة,Free
صوصات,صلصة طماطم (بيتي),1/4 كوب,Free (خضار)
صوصات,كاتشب,1 ملعقة كبيرة,1/2 حصة نشويات
صوصات,مخلل (بيت),1-2 قطعة صغيرة,Free (لكن حذر من الأملاح)
صوصات,ثوم / بصل بودرة / بهارات,أي كمية,Free
مشروبات,شاي / قهوة سادة,بدون سكر,Free
مشروبات,كركديه / ينسون / نعناع,بدون سكر,Free
مشروبات,قهوة خضراء / قرفة / زنجبيل,بدون سكر,Free
مشروبات,مياه غازية (دايت),1 عبوة,Free (يفضل التقليل)
مشروبات,كاكاو خام,1 ملعقة كبيرة,1 دهون
مشروبات,قمر الدين,1كوب,1فاكهة +1سكر
مشروبات,تمرهندي/خروب,1كوب,2سكر
المجموعة,الصنف,الكمية (للفرد),التصنيف
أكل مركب,مكرونة بالبشاميل,قطعة متوسطة (250جم),وجبة رئيسية مركبة (نشويات + بروتين + دهون)
أكل مركب,محشي (مشكل/كرنب),8 - 10 أصابع / حبات متوسطة,وجبة رئيسية مركبة (نشويات + خضار)
أكل مركب,كبسة (دجاج/لحم),1 كوب أرز + قطعة بروتين,وجبة رئيسية مركبة (نشويات + بروتين)
أكل مركب,مسقعة باللحم المفروم,1 كوب (أو مغرفة كبيرة),وجبة رئيسية مركبة (خضار + بروتين + دهون)
أكل مركب,كبة مقلية (شامية),2 - 3 حبات متوسطة,صنف جانبي مركب (نشويات + بروتين)
أكل مركب,سمبوسك (لحم/جبن),2 - 3 قطع (مخبوزة),صنف جانبي مركب (نشويات + بروتين/دهون)
أكل مركب,ملوخية بالأرانب/دجاج,1 كوب ملوخية + قطعة بروتين,وجبة رئيسية مركبة (خضار + بروتين)
أكل مركب,فطيرة جلاش باللحم,2 قطعة مربعة متوسطة,وجبة رئيسية مركبة (نشويات + بروتين)
أكل مركب,فتة مصرية (لحم),1 طبق متوسط (أرز + خبز + لحم),وجبة رئيسية مركبة (نشويات + بروتين)
أكل مركب,قدرة / مقلوبة,1 كوب أرز + خضار + بروتين,وجبة رئيسية مركبة (نشويات + خضار + بروتين)
أكل مركب,سلطة كول سلو,1 كوب صغير,صنف جانبي (خضار + دهون/سكريات)
أكل مركب,شوربة لسان عصفور,1 بوله متوسطة,صنف جانبي (نشويات + سوائل)
أكل مركب,شوربة عدس,1 بوله متوسطة,صنف جانبي (بروتين نباتي + سوائل)
أكل مركب,أرز بالخلطة/المكسرات,1 كوب أرز مطهو,وجبة رئيسية مركبة (نشويات + دهون)
أكل مركب,طاجن بامية باللحم,1 كوب بامية + قطعة لحم,وجبة رئيسية مركبة (خضار + بروتين)
